timestamp,hora,minuto,dia_semana,es_fin_semana,encendido
2024-01-01T00:07:00,0,7,0,0,0
2024-01-01T00:22:00,0,22,0,0,0
2024-01-01T00:37:00,0,37,0,0,0
2024-01-01T00:52:00,0,52,0,0,0
2024-01-01T01:07:00,1,7,0,0,0
2024-01-01T01:22:00,1,22,0,0,0
2024-01-01T01:37:00,1,37,0,0,0
2024-01-01T01:52:00,1,52,0,0,0
2024-01-01T02:07:00,2,7,0,0,0
2024-01-01T02:22:00,2,22,0,0,0
2024-01-01T02:37:00,2,37,0,0,0
2024-01-01T02:52:00,2,52,0,0,0
2024-01-01T03:07:00,3,7,0,0,0
2024-01-01T03:22:00,3,22,0,0,0
2024-01-01T03:37:00,3,37,0,0,0
2024-01-01T03:52:00,3,52,0,0,0
2024-01-01T04:07:00,4,7,0,0,0
2024-01-01T04:22:00,4,22,0,0,0
2024-01-01T04:37:00,4,37,0,0,0
2024-01-01T04:52:00,4,52,0,0,0
2024-01-01T05:07:00,5,7,0,0,0
2024-01-01T05:22:00,5,22,0,0,0
2024-01-01T05:37:00,5,37,0,0,0
2024-01-01T05:52:00,5,52,0,0,0
2024-01-01T06:07:00,6,7,0,0,0
2024-01-01T06:22:00,6,22,0,0,0
2024-01-01T06:37:00,6,37,0,0,0
2024-01-01T06:52:00,6,52,0,0,0
2024-01-01T07:07:00,7,7,0,0,0
2024-01-01T07:22:00,7,22,0,0,0
2024-01-01T07:37:00,7,37,0,0,0
2024-01-01T07:52:00,7,52,0,0,0
2024-01-01T08:07:00,8,7,0,0,1
2024-01-01T08:22:00,8,22,0,0,1
2024-01-01T08:37:00,8,37,0,0,0
2024-01-01T08:52:00,8,52,0,0,0
2024-01-01T09:07:00,9,7,0,0,0
2024-01-01T09:22:00,9,22,0,0,0
2024-01-01T09:37:00,9,37,0,0,0
2024-01-01T09:52:00,9,52,0,0,0
2024-01-01T10:07:00,10,7,0,0,0
2024-01-01T10:22:00,10,22,0,0,0
2024-01-01T10:37:00,10,37,0,0,0
2024-01-01T10:52:00,10,52,0,0,0
2024-01-01T11:07:00,11,7,0,0,0
2024-01-01T11:22:00,11,22,0,0,0
2024-01-01T11:37:00,11,37,0,0,0
2024-01-01T11:52:00,11,52,0,0,0
2024-01-01T12:07:00,12,7,0,0,0
2024-01-01T12:22:00,12,22,0,0,0
2024-01-01T12:37:00,12,37,0,0,0
2024-01-01T12:52:00,12,52,0,0,0
2024-01-01T13:07:00,13,7,0,0,0
2024-01-01T13:22:00,13,22,0,0,0
2024-01-01T13:37:00,13,37,0,0,0
2024-01-01T13:52:00,13,52,0,0,0
2024-01-01T14:07:00,14,7,0,0,0
2024-01-01T14:22:00,14,22,0,0,0
2024-01-01T14:37:00,14,37,0,0,0
2024-01-01T14:52:00,14,52,0,0,0
2024-01-01T15:07:00,15,7,0,0,0
2024-01-01T15:22:00,15,22,0,0,0
2024-01-01T15:37:00,15,37,0,0,0
2024-01-01T15:52:00,15,52,0,0,0
2024-01-01T16:07:00,16,7,0,0,0
2024-01-01T16:22:00,16,22,0,0,0
2024-01-01T16:37:00,16,37,0,0,0
2024-01-01T16:52:00,16,52,0,0,0
2024-01-01T17:07:00,17,7,0,0,1
2024-01-01T17:22:00,17,22,0,0,1
2024-01-01T17:37:00,17,37,0,0,0
2024-01-01T17:52:00,17,52,0,0,0
2024-01-01T18:07:00,18,7,0,0,0
2024-01-01T18:22:00,18,22,0,0,0
2024-01-01T18:37:00,18,37,0,0,0
2024-01-01T18:52:00,18,52,0,0,0
2024-01-01T19:07:00,19,7,0,0,0
2024-01-01T19:22:00,19,22,0,0,0
2024-01-01T19:37:00,19,37,0,0,0
2024-01-01T19:52:00,19,52,0,0,0
2024-01-01T20:07:00,20,7,0,0,0
2024-01-01T20:22:00,20,22,0,0,0
2024-01-01T20:37:00,20,37,0,0,0
2024-01-01T20:52:00,20,52,0,0,0
2024-01-01T21:07:00,21,7,0,0,0
2024-01-01T21:22:00,21,22,0,0,0
2024-01-01T21:37:00,21,37,0,0,0
2024-01-01T21:52:00,21,52,0,0,0
2024-01-01T22:07:00,22,7,0,0,0
2024-01-01T22:22:00,22,22,0,0,0
2024-01-01T22:37:00,22,37,0,0,0
2024-01-01T22:52:00,22,52,0,0,0
2024-01-01T23:07:00,23,7,0,0,0
2024-01-01T23:22:00,23,22,0,0,0
2024-01-01T23:37:00,23,37,0,0,0
2024-01-01T23:52:00,23,52,0,0,0
2024-01-02T00:07:00,0,7,1,0,0
2024-01-02T00:22:00,0,22,1,0,0
2024-01-02T00:37:00,0,37,1,0,0
2024-01-02T00:52:00,0,52,1,0,0
2024-01-02T01:07:00,1,7,1,0,0
2024-01-02T01:22:00,1,22,1,0,0
2024-01-02T01:37:00,1,37,1,0,0
2024-01-02T01:52:00,1,52,1,0,0
2024-01-02T02:07:00,2,7,1,0,0
2024-01-02T02:22:00,2,22,1,0,0
2024-01-02T02:37:00,2,37,1,0,0
2024-01-02T02:52:00,2,52,1,0,0
2024-01-02T03:07:00,3,7,1,0,0
2024-01-02T03:22:00,3,22,1,0,0
2024-01-02T03:37:00,3,37,1,0,0
2024-01-02T03:52:00,3,52,1,0,0
2024-01-02T04:07:00,4,7,1,0,0
2024-01-02T04:22:00,4,22,1,0,0
2024-01-02T04:37:00,4,37,1,0,0
2024-01-02T04:52:00,4,52,1,0,0
2024-01-02T05:07:00,5,7,1,0,0
2024-01-02T05:22:00,5,22,1,0,0
2024-01-02T05:37:00,5,37,1,0,0
2024-01-02T05:52:00,5,52,1,0,0
2024-01-02T06:07:00,6,7,1,0,0
2024-01-02T06:22:00,6,22,1,0,0
2024-01-02T06:37:00,6,37,1,0,0
2024-01-02T06:52:00,6,52,1,0,0
2024-01-02T07:07:00,7,7,1,0,0
2024-01-02T07:22:00,7,22,1,0,0
2024-01-02T07:37:00,7,37,1,0,0
2024-01-02T07:52:00,7,52,1,0,0
2024-01-02T08:07:00,8,7,1,0,0
2024-01-02T08:22:00,8,22,1,0,0
2024-01-02T08:37:00,8,37,1,0,0
2024-01-02T08:52:00,8,52,1,0,0
2024-01-02T09:07:00,9,7,1,0,0
2024-01-02T09:22:00,9,22,1,0,0
2024-01-02T09:37:00,9,37,1,0,0
2024-01-02T09:52:00,9,52,1,0,0
2024-01-02T10:07:00,10,7,1,0,0
2024-01-02T10:22:00,10,22,1,0,0
2024-01-02T10:37:00,10,37,1,0,0
2024-01-02T10:52:00,10,52,1,0,0
2024-01-02T11:07:00,11,7,1,0,0
2024-01-02T11:22:00,11,22,1,0,0
2024-01-02T11:37:00,11,37,1,0,0
2024-01-02T11:52:00,11,52,1,0,0
2024-01-02T12:07:00,12,7,1,0,0
2024-01-02T12:22:00,12,22,1,0,0
2024-01-02T12:37:00,12,37,1,0,0
2024-01-02T12:52:00,12,52,1,0,0
2024-01-02T13:07:00,13,7,1,0,0
2024-01-02T13:22:00,13,22,1,0,0
2024-01-02T13:37:00,13,37,1,0,0
2024-01-02T13:52:00,13,52,1,0,0
2024-01-02T14:07:00,14,7,1,0,0
2024-01-02T14:22:00,14,22,1,0,0
2024-01-02T14:37:00,14,37,1,0,0
2024-01-02T14:52:00,14,52,1,0,0
2024-01-02T15:07:00,15,7,1,0,0
2024-01-02T15:22:00,15,22,1,0,0
2024-01-02T15:37:00,15,37,1,0,0
2024-01-02T15:52:00,15,52,1,0,0
2024-01-02T16:07:00,16,7,1,0,0
2024-01-02T16:22:00,16,22,1,0,0
2024-01-02T16:37:00,16,37,1,0,0
2024-01-02T16:52:00,16,52,1,0,0
2024-01-02T17:07:00,17,7,1,0,0
2024-01-02T17:22:00,17,22,1,0,0
2024-01-02T17:37:00,17,37,1,0,0
2024-01-02T17:52:00,17,52,1,0,0
2024-01-02T18:07:00,18,7,1,0,0
2024-01-02T18:22:00,18,22,1,0,0
2024-01-02T18:37:00,18,37,1,0,0
2024-01-02T18:52:00,18,52,1,0,0
2024-01-02T19:07:00,19,7,1,0,0
2024-01-02T19:22:00,19,22,1,0,0
2024-01-02T19:37:00,19,37,1,0,0
2024-01-02T19:52:00,19,52,1,0,0
2024-01-02T20:07:00,20,7,1,0,0
2024-01-02T20:22:00,20,22,1,0,0
2024-01-02T20:37:00,20,37,1,0,0
2024-01-02T20:52:00,20,52,1,0,0
2024-01-02T21:07:00,21,7,1,0,0
2024-01-02T21:22:00,21,22,1,0,0
2024-01-02T21:37:00,21,37,1,0,0
2024-01-02T21:52:00,21,52,1,0,0
2024-01-02T22:07:00,22,7,1,0,0
2024-01-02T22:22:00,22,22,1,0,0
2024-01-02T22:37:00,22,37,1,0,0
2024-01-02T22:52:00,22,52,1,0,0
2024-01-02T23:07:00,23,7,1,0,0
2024-01-02T23:22:00,23,22,1,0,0
2024-01-02T23:37:00,23,37,1,0,0
2024-01-02T23:52:00,23,52,1,0,0
2024-01-03T00:07:00,0,7,2,0,0
2024-01-03T00:22:00,0,22,2,0,0
2024-01-03T00:37:00,0,37,2,0,0
2024-01-03T00:52:00,0,52,2,0,0
2024-01-03T01:07:00,1,7,2,0,0
2024-01-03T01:22:00,1,22,2,0,0
2024-01-03T01:37:00,1,37,2,0,0
2024-01-03T01:52:00,1,52,2,0,0
2024-01-03T02:07:00,2,7,2,0,0
2024-01-03T02:22:00,2,22,2,0,0
2024-01-03T02:37:00,2,37,2,0,0
2024-01-03T02:52:00,2,52,2,0,0
2024-01-03T03:07:00,3,7,2,0,0
2024-01-03T03:22:00,3,22,2,0,0
2024-01-03T03:37:00,3,37,2,0,0
2024-01-03T03:52:00,3,52,2,0,0
2024-01-03T04:07:00,4,7,2,0,0
2024-01-03T04:22:00,4,22,2,0,0
2024-01-03T04:37:00,4,37,2,0,0
2024-01-03T04:52:00,4,52,2,0,0
2024-01-03T05:07:00,5,7,2,0,0
2024-01-03T05:22:00,5,22,2,0,0
2024-01-03T05:37:00,5,37,2,0,0
2024-01-03T05:52:00,5,52,2,0,0
2024-01-03T06:07:00,6,7,2,0,1
2024-01-03T06:22:00,6,22,2,0,1
2024-01-03T06:37:00,6,37,2,0,0
2024-01-03T06:52:00,6,52,2,0,0
2024-01-03T07:07:00,7,7,2,0,0
2024-01-03T07:22:00,7,22,2,0,0
2024-01-03T07:37:00,7,37,2,0,0
2024-01-03T07:52:00,7,52,2,0,0
2024-01-03T08:07:00,8,7,2,0,0
2024-01-03T08:22:00,8,22,2,0,0
2024-01-03T08:37:00,8,37,2,0,0
2024-01-03T08:52:00,8,52,2,0,0
2024-01-03T09:07:00,9,7,2,0,0
2024-01-03T09:22:00,9,22,2,0,0
2024-01-03T09:37:00,9,37,2,0,0
2024-01-03T09:52:00,9,52,2,0,0
2024-01-03T10:07:00,10,7,2,0,0
2024-01-03T10:22:00,10,22,2,0,0
2024-01-03T10:37:00,10,37,2,0,0
2024-01-03T10:52:00,10,52,2,0,0
2024-01-03T11:07:00,11,7,2,0,0
2024-01-03T11:22:00,11,22,2,0,0
2024-01-03T11:37:00,11,37,2,0,0
2024-01-03T11:52:00,11,52,2,0,0
2024-01-03T12:07:00,12,7,2,0,0
2024-01-03T12:22:00,12,22,2,0,0
2024-01-03T12:37:00,12,37,2,0,0
2024-01-03T12:52:00,12,52,2,0,0
2024-01-03T13:07:00,13,7,2,0,0
2024-01-03T13:22:00,13,22,2,0,0
2024-01-03T13:37:00,13,37,2,0,0
2024-01-03T13:52:00,13,52,2,0,0
2024-01-03T14:07:00,14,7,2,0,0
2024-01-03T14:22:00,14,22,2,0,0
2024-01-03T14:37:00,14,37,2,0,0
2024-01-03T14:52:00,14,52,2,0,0
2024-01-03T15:07:00,15,7,2,0,0
2024-01-03T15:22:00,15,22,2,0,0
2024-01-03T15:37:00,15,37,2,0,0
2024-01-03T15:52:00,15,52,2,0,0
2024-01-03T16:07:00,16,7,2,0,0
2024-01-03T16:22:00,16,22,2,0,0
2024-01-03T16:37:00,16,37,2,0,0
2024-01-03T16:52:00,16,52,2,0,0
2024-01-03T17:07:00,17,7,2,0,0
2024-01-03T17:22:00,17,22,2,0,0
2024-01-03T17:37:00,17,37,2,0,0
2024-01-03T17:52:00,17,52,2,0,0
2024-01-03T18:07:00,18,7,2,0,0
2024-01-03T18:22:00,18,22,2,0,0
2024-01-03T18:37:00,18,37,2,0,0
2024-01-03T18:52:00,18,52,2,0,0
2024-01-03T19:07:00,19,7,2,0,0
2024-01-03T19:22:00,19,22,2,0,0
2024-01-03T19:37:00,19,37,2,0,0
2024-01-03T19:52:00,19,52,2,0,0
2024-01-03T20:07:00,20,7,2,0,0
2024-01-03T20:22:00,20,22,2,0,0
2024-01-03T20:37:00,20,37,2,0,0
2024-01-03T20:52:00,20,52,2,0,0
2024-01-03T21:07:00,21,7,2,0,0
2024-01-03T21:22:00,21,22,2,0,0
2024-01-03T21:37:00,21,37,2,0,0
2024-01-03T21:52:00,21,52,2,0,0
2024-01-03T22:07:00,22,7,2,0,0
2024-01-03T22:22:00,22,22,2,0,0
2024-01-03T22:37:00,22,37,2,0,0
2024-01-03T22:52:00,22,52,2,0,0
2024-01-03T23:07:00,23,7,2,0,0
2024-01-03T23:22:00,23,22,2,0,0
2024-01-03T23:37:00,23,37,2,0,0
2024-01-03T23:52:00,23,52,2,0,0
2024-01-04T00:07:00,0,7,3,0,0
2024-01-04T00:22:00,0,22,3,0,0
2024-01-04T00:37:00,0,37,3,0,0
2024-01-04T00:52:00,0,52,3,0,0
2024-01-04T01:07:00,1,7,3,0,0
2024-01-04T01:22:00,1,22,3,0,0
2024-01-04T01:37:00,1,37,3,0,0
2024-01-04T01:52:00,1,52,3,0,0
2024-01-04T02:07:00,2,7,3,0,0
2024-01-04T02:22:00,2,22,3,0,0
2024-01-04T02:37:00,2,37,3,0,0
2024-01-04T02:52:00,2,52,3,0,0
2024-01-04T03:07:00,3,7,3,0,0
2024-01-04T03:22:00,3,22,3,0,0
2024-01-04T03:37:00,3,37,3,0,0
2024-01-04T03:52:00,3,52,3,0,0
2024-01-04T04:07:00,4,7,3,0,0
2024-01-04T04:22:00,4,22,3,0,0
2024-01-04T04:37:00,4,37,3,0,0
2024-01-04T04:52:00,4,52,3,0,0
2024-01-04T05:07:00,5,7,3,0,0
2024-01-04T05:22:00,5,22,3,0,0
2024-01-04T05:37:00,5,37,3,0,0
2024-01-04T05:52:00,5,52,3,0,0
2024-01-04T06:07:00,6,7,3,0,0
2024-01-04T06:22:00,6,22,3,0,0
2024-01-04T06:37:00,6,37,3,0,0
2024-01-04T06:52:00,6,52,3,0,0
2024-01-04T07:07:00,7,7,3,0,0
2024-01-04T07:22:00,7,22,3,0,0
2024-01-04T07:37:00,7,37,3,0,0
